"district_name","name"
"Chuadanga","Alamdanga"
"Chuadanga","Damurhuda"
"Chuadanga","Jibannagar"
"Kushtia","Kushtia Sadar"
"Kushtia","Kumarkhali"
"Kushtia","Khoksa"
"Kushtia","Mirpur"
"Kushtia","Daulatpur"
"Kushtia","Bheramara"
"Magura","Shalikha"
"Magura","Sreepur"
"Magura","Magura Sadar"
"Magura","Mohammadpur"
"Khulna","Paikgasa"
"Khulna","Fultola"
"Khulna","Digholia"
"Khulna","Rupsha"
"Khulna","Terokhada"
"Khulna","Dumuria"
"Khulna","Botiaghata"
"Khulna","Dakop"
"Khulna","Koyra"
"Bagerhat","Fakirhat"
"Bagerhat","Bagerhat Sadar"
"Bagerhat","Mollahat"
"Bagerhat","Sarankhola"
"Bagerhat","Rampal"
"Bagerhat","Morrelganj"
"Bagerhat","Kachua"
"Bagerhat","Mongla"
"Bagerhat","Chitalmari"
"Jhenaidah","Jhenaidah Sadar"
"Jhenaidah","Shailkupa"
"Jhenaidah","Harinakundu"
"Jhenaidah","Kaliganj"
"Jhenaidah","Kotchandpur"
"Jhenaidah","Moheshpur"
"Jhalakathi","Jhalakathi Sadar"
"Jhalakathi","Kathalia"
"Jhalakathi","Nalchity"
"Jhalakathi","Rajapur"
"Patuakhali","Bauphal"
"Patuakhali","Patuakhali Sadar"
"Patuakhali","Dumki"
"Patuakhali","Dashmina"
"Patuakhali","Kalapara"
"Patuakhali","Mirzaganj"
"Patuakhali","Galachipa"
"Patuakhali","Rangabali"
"Pirojpur","Pirojpur Sadar"
"Pirojpur","Nazirpur"
"Pirojpur","Kawkhali"
"Pirojpur","Zianagar"
"Pirojpur","Bhandaria"
"Pirojpur","Mathbaria"
"Pirojpur","Nesarabad"
"Barisal","Barisal Sadar"
"Barisal","Bakerganj"
"Barisal","Babuganj"
"Barisal","Wazirpur"
"Barisal","Banaripara"
"Barisal","Gournadi"
"Barisal","Agailjhara"
"Barisal","Mehendiganj"
"Barisal","Muladi"
"Barisal","Hizla"
"Bhola","Bhola Sadar"
"Bhola","Borhan Sddin"
"Bhola","Charfesson"
"Bhola","Doulatkhan"
"Bhola","Monpura"
"Bhola","Tazumuddin"
"Bhola","Lalmohan"
"Barguna","Amtali"
"Barguna","Barguna Sadar"
"Barguna","Betagi"
"Barguna","Bamna"
"Barguna","Pathorghata"
"Barguna","Taltali"
"Sylhet","Balaganj"
"Sylhet","Beanibazar"
"Sylhet","Bishwanath"
"Sylhet","Companiganj"
"Sylhet","Fenchuganj"
"Sylhet","Golapganj"
"Sylhet","Gowainghat"
"Sylhet","Jaintiapur"
"Sylhet","Kanaighat"
"Sylhet","Sylhet Sadar"
"Sylhet","Zakiganj"
"Sylhet","Dakshinsurma"
"Sylhet","Osmaninagar"
"Moulvibazar","Barlekha"
"Moulvibazar","Kamolganj"
"Moulvibazar","Kulaura"
"Moulvibazar","Moulvibazar Sadar"
"Moulvibazar","Rajnagar"
"Moulvibazar","Sreemangal"
"Moulvibazar","Juri"
"Habiganj","Nabiganj"
"Habiganj","Bahubal"
"Habiganj","Ajmiriganj"
"Habiganj","Baniachong"
"Habiganj","Lakhai"
"Habiganj","Chunarughat"
"Habiganj","Habiganj Sadar"
"Habiganj","Madhabpur"
"Sunamganj","Sunamganj Sadar"
"Sunamganj","South Sunamganj"
"Sunamganj","Bishwambarpur"
"Sunamganj","Chhatak"
"Sunamganj","Jagannathpur"
"Sunamganj","Dowarabazar"
"Sunamganj","Tahirpur"
"Sunamganj","Dharmapasha"
"Sunamganj","Jamalganj"
"Sunamganj","Shalla"
"Sunamganj","Derai"
"Narsingdi","Belabo"
"Narsingdi","Monohardi"
"Narsingdi","Narsingdi Sadar"
"Narsingdi","Palash"
"Narsingdi","Raipura"
"Narsingdi","Shibpur"
"Gazipur","Kaliganj"
"Gazipur","Kaliakair"
"Gazipur","Kapasia"
"Gazipur","Gazipur Sadar"
"Gazipur","Sreepur"
"Shariatpur","Shariatpur Sadar"
"Shariatpur","Naria"
"Shariatpur","Zajira"
"Shariatpur","Gosairhat"
"Shariatpur","Bhedarganj"
"Shariatpur","Damudya"
"Narayanganj","Araihazar"
"Narayanganj","Bandar"
"Narayanganj","Narayanganj Sadar"
"Narayanganj","Rupganj"
"Narayanganj","Sonargaon"
"Tangail","Basail"
"Tangail","Bhuapur"
"Tangail","Delduar"
"Tangail","Ghatail"
"Tangail","Gopalpur"
"Tangail","Madhupur"
"Tangail","Mirzapur"
"Tangail","Nagarpur"
"Tangail","Sakhipur"
"Tangail","Tangail Sadar"
"Tangail","Kalihati"
"Tangail","Dhanbari"
"Kishoreganj","Itna"
"Kishoreganj","Katiadi"
"Kishoreganj","Bhairab"
"Kishoreganj","Tarail"
"Kishoreganj","Hossainpur"
"Kishoreganj","Pakundia"
"Kishoreganj","Kuliarchar"
"Kishoreganj","Kishoreganj Sadar"
"Kishoreganj","Karimgonj"
"Kishoreganj","Bajitpur"
"Kishoreganj","Austagram"
"Kishoreganj","Mithamoin"
"Kishoreganj","Nikli"
"Manikganj","Harirampur"
"Manikganj","Saturia"
"Manikganj","Manikganj Sadar"
"Manikganj","Gior"
"Manikganj","Shibaloy"
"Manikganj","Doulatpur"
"Manikganj","Singiar"
"Dhaka","Savar"
"Dhaka","Dhamrai"
"Dhaka","Keraniganj"
"Dhaka","Nawabganj"
"Dhaka","Dohar"
"Munshiganj","Munshiganj Sadar"
"Munshiganj","Sreenagar"
"Munshiganj","Sirajdikhan"
"Munshiganj","Louhajanj"
"Munshiganj","Gajaria"
"Munshiganj","Tongibari"
"Rajbari","Rajbari Sadar"
"Rajbari","Goalanda"
"Rajbari","Pangsa"
"Rajbari","Baliakandi"
"Rajbari","Kalukhali"
"Madaripur","Madaripur Sadar"
"Madaripur","Shibchar"
"Madaripur","Kalkini"
"Madaripur","Rajoir"
"Gopalganj","Gopalganj Sadar"
"Gopalganj","Kashiani"
"Gopalganj","Tungipara"
"Gopalganj","Kotalipara"
"Gopalganj","Muksudpur"
"Faridpur","Faridpur Sadar"
"Faridpur","Alfadanga"
"Faridpur","Boalmari"
"Faridpur","Sadarpur"
"Faridpur","Nagarkanda"
"Faridpur","Bhanga"
"Faridpur","Charbhadrasan"
"Faridpur","Madhukhali"
"Faridpur","Saltha"
"Panchagarh","Panchagarh Sadar"
"Panchagarh","Debiganj"
"Panchagarh","Boda"
"Panchagarh","Atwari"
"Panchagarh","Tetulia"
"Dinajpur","Nawabganj"
"Dinajpur","Birganj"
"Dinajpur","Ghoraghat"
"Dinajpur","Birampur"
"Dinajpur","Parbatipur"
"Dinajpur","Bochaganj"
"Dinajpur","Kaharol"
"Dinajpur","Fulbari"
"Dinajpur","Dinajpur Sadar"
"Dinajpur","Hakimpur"
"Dinajpur","Khansama"
"Dinajpur","Birol"
"Dinajpur","Chirirbandar"
"Lalmonirhat","Lalmonirhat Sadar"
"Lalmonirhat","Kaliganj"
"Lalmonirhat","Hatibandha"
"Lalmonirhat","Patgram"
"Lalmonirhat","Aditmari"
"Nilphamari","Syedpur"
"Nilphamari","Domar"
"Nilphamari","Dimla"
"Nilphamari","Jaldhaka"
"Nilphamari","Kishorganj"
"Nilphamari","Nilphamari Sadar"
"Gaibandha","Sadullapur"
"Gaibandha","Gaibandha Sadar"
"Gaibandha","Palashbari"
"Gaibandha","Saghata"
"Gaibandha","Gobindaganj"
"Gaibandha","Sundarganj"
"Gaibandha","Phulchari"
"Thakurgaon","Thakurgaon Sadar"
"Thakurgaon","Pirganj"
"Thakurgaon","Ranisankail"
"Thakurgaon","Haripur"
"Thakurgaon","Baliadangi"
"Rangpur","Rangpur Sadar"
"Rangpur","Gangachara"
"Rangpur","Taragonj"
"Rangpur","Badargonj"
"Rangpur","Mithapukur"
"Rangpur","Pirgonj"
"Rangpur","Kaunia"
"Rangpur","Pirgacha"
"Kurigram","Kurigram Sadar"
"Kurigram","Nageshwari"
"Kurigram","Bhurungamari"
"Kurigram","Phulbari"
"Kurigram","Rajarhat"
"Kurigram","Ulipur"
"Kurigram","Chilmari"
"Kurigram","Rowmari"
"Kurigram","Charrajibpur"
"Sherpur","Sherpur Sadar"
"Sherpur","Nalitabari"
"Sherpur","Sreebordi"
"Sherpur","Nokla"
"Sherpur","Jhenaigati"
"Mymensingh","Fulbaria"
"Mymensingh","Trishal"
"Mymensingh","Bhaluka"
"Mymensingh","Muktagacha"
"Mymensingh","Mymensingh Sadar"
"Mymensingh","Dhobaura"
"Mymensingh","Phulpur"
"Mymensingh","Haluaghat"
"Mymensingh","Gouripur"
"Mymensingh","Gafargaon"
"Mymensingh","Iswarganj"
"Mymensingh","Nandail"
"Mymensingh","Tarakanda"
"Jamalpur","Jamalpur Sadar"
"Jamalpur","Melandah"
"Jamalpur","Islampur"
"Jamalpur","Dewangonj"
"Jamalpur","Sarishabari"
"Jamalpur","Madarganj"
"Jamalpur","Bokshiganj"
"Netrokona","Barhatta"
"Netrokona","Durgapur"
"Netrokona","Kendua"
"Netrokona","Atpara"
"Netrokona","Madan"
"Netrokona","Khaliajuri"
"Netrokona","Kalmakanda"
"Netrokona","Mohongonj"
"Netrokona","Purbadhala"
"Netrokona","Netrokona Sadar"
"Coxsbazar","Eidgaon"
"Sunamganj","Madhyanagar"
"Madaripur","Dasar"
